CODGEO,code_departement,P10_POP1564,P10_CHOM1564,P15_POP1564,P15_CHOM1564,P21_POP1564,P21_CHOM1564,taux_chomage_2012,taux_chomage_2017,taux_chomage_2022
44184,44,42659.5793942832,4217.87390338597,43049.7940698745,5477.58710214086,42903.4029939862,4572.05799359686,9.8873,12.7238,10.6566
44185,44,1931.0,153.0,1881.0,189.0,1917.54906236096,200.930130349119,7.9234,10.0478,10.4785
44186,44,3285.49092872865,130.34627099761,3947.19749743204,233.243886216361,4411.09782769734,252.316863016399,3.9673,5.9091,5.72
44187,44,2670.26503895739,165.952492239391,2836.7821323297,236.425897720056,2841.12804331513,206.013748038052,6.2148,8.3343,7.2511
44188,44,5245.50174970808,231.57038831505,5654.8228664134,390.411312564943,5978.13388442757,349.033683572254,4.4146,6.904,5.8385
44189,44,1305.0,82.0,1371.0,113.0,1410.39554423808,94.1693562106704,6.2835,8.2422,6.6768
44190,44,16270.6186264302,878.514405466647,16455.9322587027,1373.9967713972,17618.4198879168,1231.91161628242,5.3994,8.3496,6.9922
44192,44,1362.43874643874,64.3038936372269,1506.47608803969,91.7137286753969,1722.75960533441,122.863359475729,4.7198,6.088,7.1318
44193,44,859.411899700523,61.7296012077522,867.975600422369,75.9106293542694,877.946807560475,57.2378530472474,7.1828,8.7457,6.5195
44194,44,4350.8427654889,234.039548022598,4474.87555172758,287.991764353155,4748.51885747543,224.685057954502,5.3792,6.4357,4.7317
44195,44,4674.75891697516,295.636515279068,5100.12672997414,387.358528937109,5684.62491870878,370.482707467727,6.3241,7.5951,6.5173
44196,44,988.108519129584,66.6443330731048,967.371007371005,91.223587223587,959.315352824684,65.3017844913784,6.7446,9.4301,6.8071
44197,44,984.0,76.0,933.0,87.0,972.619588096878,82.8011211681111,7.7236,9.3248,8.5132
44198,44,4976.56613260328,255.503718533922,5138.02315119496,337.859242140616,5661.95402848197,305.402496842026,5.1341,6.5757,5.3939
44199,44,1262.15022533801,75.4882323485227,1233.76334340383,111.888217522659,1171.28151835439,78.5039388748895,5.9809,9.0689,6.7024
44200,44,226.0,24.0,216.0,18.0,214.001615380514,16.9956202544132,10.6195,8.3333,7.9418
44201,44,4089.47656566261,127.077744925873,4495.5654419678,256.89882842039,4563.41491593121,268.571295507296,3.1074,5.7145,5.8853
44202,44,1035.97506922444,27.5841386618283,1026.99042364925,66.2391885774976,1083.31722124846,60.708196644536,2.6626,6.4498,5.6039
44203,44,1225.57025829923,36.4335019468841,1242.02492719666,87.0692725760413,1296.01481559287,59.6983037190918,2.9728,7.0103,4.6063
44204,44,4989.0,304.0,5989.0,475.0,6726.83985666831,407.898721287561,6.0934,7.9312,6.0637
44205,44,1423.47526002712,101.791102677202,1480.78488301928,121.722126823703,1577.12786073705,81.3920156048778,7.1509,8.2201,5.1608
44206,44,930.374621438255,69.0015884661908,998.209640864946,86.712862066276,1140.52496599849,69.9621861737623,7.4165,8.6868,6.1342
44207,44,556.0,51.0,580.0,42.0,635.394041083206,33.3884747955359,9.1727,7.2414,5.2548
44208,44,494.386413185148,28.769815310089,506.646431434862,38.0864499854277,579.904084732946,38.3351469532257,5.8193,7.5174,6.6106
44209,44,5316.70924558536,188.994369889452,5894.40419491528,314.465551560633,6660.51306031257,398.898332685724,3.5547,5.335,5.989
44210,44,4629.21873109872,334.348676203111,4681.78578612245,476.45291938856,5001.60208814711,451.757429827543,7.2226,10.1767,9.0323
44211,44,2766.0,191.0,2410.0,237.0,2418.91366753442,203.091066974763,6.9053,9.834,8.396
44212,44,5415.39373501224,310.953516762277,5545.13359539152,377.903170077033,6030.25379898922,279.322533912727,5.742,6.815,4.632
44213,44,4315.22558903386,274.142537218275,4455.87750596305,358.852689400204,4495.18133563132,325.648446116108,6.3529,8.0535,7.2444
44214,44,1206.92677712453,52.8808123997861,1294.05944934804,103.321304483694,1278.93039117099,86.0284322817361,4.3814,7.9843,6.7266
44215,44,13988.402196023,660.4607888608,14529.3222608863,965.454806000726,15904.8949127206,886.862382989913,4.7215,6.6449,5.576
44216,44,2472.27599494976,96.1709159927564,2417.19897180722,152.319915285152,2436.71939845205,152.410481944579,3.89,6.3015,6.2547
44217,44,3643.65012083008,151.797240160325,3775.15458270684,232.904133737323,4052.05470153133,155.257678245743,4.1661,6.1694,3.8316
44218,44,416.434131736527,30.3038922155689,439.208350970192,35.9180500027418,456.64655121878,33.0490397176585,7.277,8.1779,7.2373
44220,44,920.349576271186,45.9675141242938,1021.41512657281,78.7738651893267,1112.78719666755,67.6676524151674,4.9946,7.7122,6.0809
44221,44,867.158017041056,36.2649109217662,945.509969469788,50.0013365696457,971.124072683754,52.660094344405,4.182,5.2883,5.4226
44222,44,744.0,68.0,725.0,54.0,745.462006050144,41.1464476736903,9.1398,7.4483,5.5196
44223,44,2224.1180538655,117.654741624077,2344.09254793162,146.533786261388,2373.47232552731,111.175210990606,5.29,6.2512,4.6841
44224,44,1013.85268745852,35.9522229595221,1073.55880490303,66.9104897470045,1097.97691015549,68.9137036518658,3.5461,6.2326,6.2764
49002,49,1782.0,128.0,1788.0,220.0,1721.31062640655,123.244606545696,7.1829,12.3043,7.1599
49003,49,1009.96913418937,83.4810136361021,1022.05158474867,98.3276591182021,1012.46041542175,71.3577052270357,8.2657,9.6206,7.048
49007,49,102171.107200546,10766.2822612664,102764.463471778,14316.7137823208,105255.983674464,12094.8009604919,10.5375,13.9316,11.4908
49008,49,550.0,47.0,525.0,55.0,542.018968963673,46.1018706446956,8.5455,10.4762,8.5056
49009,49,296.729957805907,14.3248945147679,294.71038571209,17.831638582906,273.606620698683,12.887335387747,4.8276,6.0506,4.7102
49010,49,196.308771929824,13.9508771929824,216.473730814145,12.1754493753087,203.463777933077,16.008082749472,7.1066,5.6244,7.8678
49011,49,302.577464788731,20.37558685446,291.239436619718,26.7464788732394,256.722693364964,15.1341039721211,6.734,9.1837,5.8951
49012,49,228.636871508381,11.0307262569833,206.562841530055,16.0437158469946,197.361895975067,11.1737356223107,4.8246,7.767,5.6615
49015,49,7800.44028293197,607.636097062228,7846.99815132258,679.545581450065,8448.24923550729,780.739325675731,7.7898,8.6599,9.2414
