CODGEO,code_departement,P22_POP,P16_POP,P22_MEN,MED_SL23,PR_MD60_23,P22_CHOM1564,P22_ACT1564,P22_EMPLT,ETTOT24
49063,49,6541,6557,2937.609233,26540,8,279.751326,2980.692838,2453.435277,240
49064,49,409,392,155.958467,25660,,7.228292,180.302258,87.553866,18
49067,49,341,354,137,24940,,11,166,136.199357,13
49068,49,1837,1870,742.77359,25350,,52.321429,892.796167,1084.744016,64
49069,49,,,,,,,,,
49070,49,712,710,295.187611,24860,,25.42384,339.043308,77.611066,12
49076,49,820,743,307,26100,,20,466,50.901462,11
49080,49,8712,8776,3603,24680,10,349,4090,2402.034718,217
49082,49,941,959,386.15742,25130,,30.091076,470.227083,127.01534,21
49086,49,3885,3959,1545,25620,,87,1944,1055.984452,129
49089,49,1067,1059,422.988509,25030,,25.95951,541.312718,172.79118,30
49090,49,1036,977,424,25160,,34,503,112.97825,13
49092,49,21550,21600,8724.131339,25430,8.9,668.113405,10542.193287,8945.859863,761
49099,49,54074,53718,25995.038258,25020,15.8,3057.151515,24895.9051,37823.183093,2246
49100,49,473,471,199.164936,25000,,20.122453,234.192766,105.158291,21
49102,49,345,343,143.20591,24250,,18.76505,151.226114,102.496641,12
49107,49,481,472,202.803446,27420,,16.066667,229.755998,424.438024,18
49109,49,1575,1598,651.017188,25420,,38.604367,777.244954,326.925305,37
49110,49,1982,1819,771.026506,25770,,89.281687,1017.600212,379.895911,53
49112,49,935,917,414.813846,26540,,18.399672,399.821718,154.254671,21
49113,49,530,497,217.218253,25700,,17.799376,262.097234,45.631367,9
49114,49,140,147,66.62069,21740,,8.689655,56,18.733207,3
49120,49,1448,1402,606,27290,,40,731,176.028001,26
49121,49,442,464,184,24620,,17,220,80.52008,13
49123,49,1812,1673,720.471969,27090,,78.884524,861.749479,898.715976,143
49125,49,11227,10981,4878.288639,24540,12,494.982166,5065.390482,4938.440961,391
49126,49,16975,16324,6926.341099,25770,7,537.013913,8699.417462,3631.599442,385
49127,49,3376,3371,1468.854375,24600,,158.570034,1506.818611,1714.43155,137
49129,49,4614,4070,2042.358563,26690,,183.508561,2098.805528,3525.598984,220
49130,49,661,631,227.21539,27430,,19.951417,339.770269,65.815249,12
49131,49,719,747,290.692455,24460,,25.88921,349.889733,45.953374,6
49132,49,1567,1547,615.944082,25460,,45.107469,844.073265,281.74105,29
49135,49,2216,2216,877.732241,27780,,68.063934,1049.602865,326.85647,45
49138,49,2531,2637,1016.002742,24960,,79.925218,1229.666255,398.671488,64
49140,49,1477,1532,519.069395,23460,,57.594133,830.090512,1399.49596,27
49155,49,1437,1449,574.806956,29340,,47.447653,771.968037,329.592355,58
49160,49,3069,2976,1311.678673,24760,,143.23767,1384.073416,623.19871,75
49161,49,343,320,136.468687,26210,,13.074087,175.817944,147.245851,8
49163,49,2792,2746,1133.614059,25100,,77.570807,1373.992864,531.859936,61
49167,49,4670,4495,1935.140508,31910,,133.602346,2063.057817,925.98834,145
49170,49,828,822,365,26390,,39,389,88.625605,14
49171,49,119,122,54,24130,,3,56,17.023186,2
49174,49,1304,1321,540.646925,24430,,53.479208,697.591499,367.589812,26
49176,49,5343,4870,2200.172174,25990,,225.257512,2588.146939,2282.411351,178
49178,49,884,861,367.672275,24740,,33.039822,413.926206,141.686264,34
49180,49,6583,6813,3048,23720,15,308,2898,3008.104169,234
49182,49,895,844,370.353685,25930,,21.87518,461.144328,354.945587,31
49183,49,4967,4856,1978.554635,25470,,160.491771,2422.602297,878.223535,106
49188,49,846,842,327.583959,26020,,22.848555,449.081444,159.418279,21
49192,49,3206,3161,1302.571312,25980,,115.099188,1526.713263,1816.836788,125
49193,49,3878,3822,1680.099441,25250,,135.203825,1874.623586,1015.065306,81
49194,49,5770,5787,2293,26840,,166,2839,1064.995566,121
49195,49,1257,1154,484.259378,26290,,35.307195,604.529627,330.111025,29
49200,49,6453,6351,2556.34745,27970,,166.522212,3238.785664,1886.726151,113
49201,49,2057,2089,908.369251,25480,,90.81698,972.087485,779.420201,41
49205,49,1050,989,408,23600,,40,452,250.221017,37
49209,49,433,414,163.191812,25200,,13.692171,215.456895,39.583685,6
49211,49,1229,1225,502,25200,,33,570,748.368438,42
49214,49,7811,7513,3320.66322,27720,7,274.503378,3654.433148,2010.122307,135
49215,49,3716,3903,1742.823516,24190,,188.977186,1704.314787,2105.278464,132
49216,49,565,570,222,28200,,16,293,80.11393,9
49217,49,792,744,313.435032,26240,,32.501431,420.613462,130.193912,14
49218,49,15684,15971,6507.374598,24680,8,492.88956,7595.965806,5279.666441,407
49219,49,416,441,226.349009,27820,,25.075586,160.029735,179.960117,32
49220,49,3694,3642,1578,24670,,124,1729,1326.790046,100
49221,49,800,864,378.081979,21640,,40.973658,336.027409,114.974029,21
49222,49,2033,2006,828.395399,27430,,65.181974,980.766764,723.594062,66
49223,49,6172,5453,2725.491323,27750,8,203.187774,2799.843762,1492.75542,158
49224,49,1011,991,409.112142,24490,,50.115302,462.554829,389.146817,28
49228,49,5473,5680,2588,22210,19,300,2315,1655.98985,173
49231,49,1454,1489,614.379367,26350,,48.828966,702.06944,501.243562,40
49235,49,377,435,185,27400,,11,170,119.381556,21
49236,49,128,126,67,24530,,5,58,24.112054,6
49237,49,137,145,71.900709,22880,,2.914894,62.184397,23.4781,1
49240,49,1016,1031,414.981972,24290,,33.548448,504.489936,264.186335,24
49241,49,2649,2326,1033,29110,,72,1306,535.306102,75
49244,49,18514,18366,7737.409511,25020,9,620.286519,8484.708457,6386.044887,543
49246,49,12863,12708,6127.804081,26690,12,599.461558,5829.493295,4832.145151,498
49247,49,2478,2429,996.979014,27480,,81.203227,1173.048518,408.690017,50
49248,49,8811,9013,3844,23850,13,403,3946,2776.921946,283
49253,49,1089,1193,508,23700,,44,492,320.124029,45
49257,49,1043,1006,454,24760,,34,495,219.205699,17
49259,49,2332,2343,942.350022,26130,,54.684239,1081.579083,441.114589,64
49260,49,2012,1835,838.816044,26320,,79.648969,1045.873587,565.021645,51
49261,49,8452,8679,3768.172904,25150,10,408.854224,3735.752223,1831.074136,235
49262,49,644,664,286,26900,,13,283,53.554925,9
49266,49,1283,1214,499.294582,26200,,36.346115,678.373318,166.776747,20
49267,49,9496,9209,4364.735637,26190,13,512.228281,4096.592208,8436.343287,551
49269,49,2843,2699,1153.055694,26920,,69.526055,1384.483046,832.447645,83
49271,49,2139,2161,811.835505,27740,,45.692451,1113.487298,291.617852,40
49272,49,1127,1118,484,24170,,48,522,195.706863,15
49278,49,3617,3416,1592.172689,30130,,89.586602,1553.196398,2477.222617,170
49283,49,3787,3570,1503.107359,26180,,106.583863,1814.662253,1470.042031,134
49284,49,1396,1399,584.795497,25550,,44.428021,697.834974,261.441998,41
49288,49,225,230,106.243609,26620,,2.86065,118.958817,13.071252,3
49291,49,386,396,164.145268,23920,,22.633246,195.182809,43.300432,8
49292,49,3508,3397,1311.786367,26040,,125.2889,1758.055216,666.819071,91
49294,49,2961,2731,1130.318041,28980,,87.305513,1380.242047,369.332815,59
49298,49,3860,3529,1477,29560,,124,1965,1355.338536,175
49299,49,3099,2817,1229.875447,26950,,85.851612,1481.975828,694.072852,78
49301,49,25764,25681,10454.409036,26070,6.2,799.801157,13073.966061,8345.856798,702
49302,49,442,457,186.547183,22920,,12.959351,221.357694,87.684467,11
49306,49,1693,1672,689.67921,28630,,49.452249,831.322727,322.943988,66
49307,49,16588,15821,6668.210183,27910,5,534.606278,7916.871377,3842.649235,407
49308,49,2209,2040,910.642045,31470,,35.733376,1040.917011,347.512008,53
49310,49,600,599,259.362068,23100,,26.967222,304.498882,74.948454,17
49311,49,1319,1297,523.144953,25090,,58.721344,644.78727,175.260043,20
49323,49,7946,7060,3373.72931,27010,9,288.767682,3754.004021,5479.655924,368
49326,49,891,815,352.418739,29400,,18.15321,465.620985,53.024446,11
49328,49,26074,27125,13243.001155,23990,18.8,1631.804791,10860.9042,15076.126999,1155
49329,49,1351,1338,549.694799,28690,,47.450502,627.57686,238.922367,48
49330,49,1161,1183,414.098538,26410,,30.888036,576.050589,70.777891,14
49331,49,17617,17577,7763.156389,24390,12,686.013632,8008.454597,8102.713167,579
49332,49,4199,4092,1669.27955,27320,,111.917057,1926.328654,2289.35388,223
49333,49,2853,2980,1198.584146,24710,,135.437569,1403.955899,1696.208107,113
49334,49,341,319,139.454337,25000,,14.947183,176.789126,41.637578,7
49336,49,875,897,368.837975,24970,,25.44082,440.935002,288.38885,37
49338,49,1344,1418,543,28720,,41,658,86.066469,17
49339,49,1477,1484,576.685735,27750,,57.845686,753.102741,109.527631,23
49341,49,691,760,307,25080,,27,320,103.961519,16
49343,49,3178,3162,1344.612638,26960,,70.211993,1517.112523,697.51262,89
49344,49,1238,1222,441.713857,26660,,28.940326,666.207059,143.938709,20
49345,49,5874,5757,2451.434633,25780,,143.59354,2867.049957,1673.505375,195
49347,49,4498,4349,1968.795852,26990,,149.879463,2017.660376,1524.228313,176
49352,49,1316,1336,522.496856,25800,,36.922913,661.787362,146.626054,23
49353,49,15620,14402,6795.68408,23960,17,951.235024,7690.207206,5355.220791,431
49355,49,3078,2956,1285,26280,,84,1481,755.963604,75
49358,49,569,585,248.011499,23910,,37.523227,280.928887,132.890331,27
49359,49,553,581,230.741027,27500,,19.22533,290.679676,81.475235,18
49361,49,1924,1829,831,23800,,85,815,278.254342,39
49362,49,1282,1224,555,27620,,33,568,169.975705,34
49364,49,1122,1159,477.413903,24740,,27.930194,565.016467,194.072319,35
49367,49,5784,5750,2156.837986,25210,,227.641242,2850.847002,1007.1511,120
49368,49,2006,1990,839.259191,22870,,107.736054,821.426264,704.71098,63
