CODGEO,P22_POP,P16_POP,SUPERF,NAIS1621,DECE1621,P22_MEN,NAISD24,DECESD24,P22_LOG,P22_RP,P22_RSECOCC,P22_LOGVAC,P22_RP_PROP,MED_SL23,PR_MD60_23,P22_EMPLT,P22_EMPLT_SAL,P16_EMPLT,P22_POP1564,P22_CHOM1564,P22_ACT1564,ETTOT24,ETAZ24,ETBE24,ETFZ24,ETGU24,ETOQ24,ETTEF124,ETTEFP1024
85101,484,492,12.42,31,18,197.962112384116,1,3,281.068145973169,197.962112384116,67.7160273688576,15.3900062201949,166.483506744862,24470,s,29.5214558618511,11.8695218384196,31.6208116236892,286.995981845194,31.8047049240932,209.951923176128,8,3,0,1,3,1,8,0
85102,725,658,20.49,48,20,299.123583235503,8,4,342.485634517554,299.123583235503,27.3865587044534,15.9754925775978,249.469916108143,23410,s,81.9057152276083,57.7097128027034,56.2409028686385,464.883122165117,31.3599258059571,368.897576502991,6,2,1,1,0,2,4,2
85103,2216,2151,36.33,125,79,939,25,16,1097,939,81,77,770,25540,s,277.21722269255,159.076875102191,276.951093352798,1386,86,1146,39,10,4,8,12,5,30,3
85104,910,832,47.18,32,63,459.840148564366,1,16,833.58574008852,459.840148564366,361.558235278801,12.1873562453528,390.716244515795,25290,s,135.721968947494,75.6599796059858,135.043255358413,477.310859232563,52.2460952340042,321.908986987145,26,5,1,5,13,2,19,2
85105,516,546,12.81,24,27,249.738161785947,5,4,319.184621476325,249.738161785947,34.2199946300412,35.2264650603366,189.95465029481,22680,s,61.650578902717,34.6002826675209,72.6454320027065,304.368295366891,26.8894089251687,214.003840636527,9,3,0,2,1,3,9,0
85106,1335,1359,7.82,46,126,718.035237077164,8,44,2825.37825813379,718.035237077164,2005.07490385829,102.268117198336,563.619541259755,26470,s,656.920296330951,488.288742775531,586.721571738256,709.909406852949,78.8333520953082,537.553113783716,111,13,6,28,54,10,81,17
85108,3437,3145,16.75,234,200,1343.77260116513,36,26,1417.73625000181,1343.77260116513,7.68453494407112,66.2791138926134,994.709593484041,26870,s,1180.58726531511,1036.46228310081,926.802639951321,2201.5833942966,95.1809540804482,1831.293846101,87,6,13,5,55,8,64,20
85109,16589,15972,88.78,914,966,7407.65560051411,131,187,7822.90401011447,7407.65560051411,148.180689229352,267.067720371011,4918.46214057902,26010,8,14824.684086803,13636.7838064963,12974.8128104848,10378.6011452795,633.239261973023,8425.95259378487,837,34,68,67,580,88,553,217
85110,903,911,11.42,48,156,391.476504239069,4,26,470.532526648033,391.476504239069,32.6262949624295,46.4297274465343,267.562970617075,23270,s,260.939752124224,216.145760576465,257.471957241366,472.282632160165,49.1663712063469,374.162268711174,27,3,2,1,12,9,21,6
85111,1505,1534,19.09,76,85,703.594284923785,11,9,867.697957474061,703.594284923785,64.0404575805958,100.063214969681,544.334311607939,23570,s,440.700706104873,363.717842702906,382.229729112491,863.1093608389,83.829733866296,702.392601504465,34,7,2,9,12,4,27,3
