id_election,annee,code_commune,population_totale,revenu_median,taux_pauvrete,taux_chomage,nb_entreprises,taux_faits_securite_pour_mille
2012_legi_t1,2012,44131,18382,29470,7,5.945211,871,2.657202
2012_legi_t1,2012,44132,12530,31310,8,7.915198,501,6.011625
2012_legi_t1,2012,44133,3046,27910,,4.777346,67,3.466872
2012_legi_t1,2012,44134,1050,26210,,4.84375,23,0
2012_legi_t1,2012,44135,4007,29460,11,7.051075,240,1.104125
2012_legi_t1,2012,44136,1246,30360,,7.391925,64,2.354699
2012_legi_t1,2012,44137,3557,27680,,5.078201,73,4.633363
2012_legi_t1,2012,44138,1124,25930,,5.960265,55,0
2012_legi_t1,2012,44139,1541,25720,,7.524272,20,0
2012_legi_t1,2012,44140,1559,25890,,4.235537,31,0
2012_legi_t1,2012,44141,1288,25480,,3.960396,27,0
2012_legi_t1,2012,44142,1932,25910,,4.578097,42,0
2012_legi_t1,2012,44143,43349,26580,14.1,7.98531,1241,8.568104
2012_legi_t1,2012,44144,2358,24390,,6.472686,64,
2012_legi_t1,2012,44145,3272,26650,,4.907271,57,0
2012_legi_t1,2012,44146,2152,24350,,6.642599,55,2.373233
2012_legi_t1,2012,44147,,,,,,
2012_legi_t1,2012,44148,705,23410,,4.510153,11,0
2012_legi_t1,2012,44149,4075,25830,,5.860523,76,2.636462
2012_legi_t1,2012,44150,3991,28420,,5.155168,195,4.192449
2012_legi_t1,2012,44151,6949,29840,,5.021868,140,2.166065
2012_legi_t1,2012,44152,3014,26120,,5.377332,65,0
2012_legi_t1,2012,44153,1749,23860,,8.93401,29,0
2012_legi_t1,2012,44154,14645,28760,8,6.766102,414,2.470146
2012_legi_t1,2012,44155,3499,26570,,5.610948,70,0
2012_legi_t1,2012,44156,3209,25110,,4.350107,59,2.459312
2012_legi_t1,2012,44157,1764,24260,,6.571742,38,0
2012_legi_t1,2012,44158,7739,30120,,3.936023,240,5.245347
2012_legi_t1,2012,44159,1246,30640,,6.594886,27,0
2012_legi_t1,2012,44160,,,,,,
2012_legi_t1,2012,44161,3790,25050,,5.537651,91,0
2012_legi_t1,2012,44162,50561,25940,16.9,8.08508,2754,6.324863
2012_legi_t1,2012,44163,4890,26250,,5.849304,89,0
2012_legi_t1,2012,44164,2376,25390,,4.541614,71,0
2012_legi_t1,2012,44165,2405,27060,,4.37452,55,0
2012_legi_t1,2012,44166,6024,27230,,3.966511,77,2.110968
2012_legi_t1,2012,44168,4125,24840,,5.460702,53,
2012_legi_t1,2012,44169,7768,28760,,5.399261,244,7.87744
2012_legi_t1,2012,44170,963,23510,,8.31793,28,0
2012_legi_t1,2012,44171,2114,29400,,4.770992,31,3.492812
2012_legi_t1,2012,44172,16227,28980,9,5.837489,554,7.324295
2012_legi_t1,2012,44173,2118,26700,,3.722685,37,0
2012_legi_t1,2012,44174,2390,26340,,4.383788,48,2.847693
2012_legi_t1,2012,44175,5246,27420,,5.918441,100,0
2012_legi_t1,2012,44176,3221,26080,,7.839388,35,2.511508
2012_legi_t1,2012,44178,2644,27000,,5.123361,56,7.291804
2012_legi_t1,2012,44179,5435,27990,,3.487824,120,3.583962
2012_legi_t1,2012,44180,6625,23960,12,5.722197,188,1.142189
2012_legi_t1,2012,44181,,,,,,
2012_legi_t1,2012,44182,5520,27960,,4.876504,158,1.245264
2012_legi_t1,2012,44183,2859,26550,,5.983971,70,0
2012_legi_t1,2012,44184,73111,24750,18,9.887284,2203,5.208554
2012_legi_t1,2012,44185,3304,24480,,7.923356,96,2.747515
2012_legi_t1,2012,44186,7209,26790,,3.96733,180,0
2012_legi_t1,2012,44187,4701,25240,,6.214832,154,0.807459
2012_legi_t1,2012,44188,9392,27410,7,4.414647,312,3.425862
2012_legi_t1,2012,44189,2447,25540,,6.283525,39,0
2012_legi_t1,2012,44190,28373,28930,9.7,5.399392,590,6.594886
2012_legi_t1,2012,44191,,,,,,
2012_legi_t1,2012,44192,2846,26080,,4.719764,71,0
2012_legi_t1,2012,44193,1527,23440,,7.182772,34,5.925926
2012_legi_t1,2012,44194,8534,33610,7,5.379177,280,4.563854
2012_legi_t1,2012,44195,9465,28290,9,6.324102,291,4.124603
2012_legi_t1,2012,44196,1693,24330,,6.744637,18,0
2012_legi_t1,2012,44197,1658,22950,,7.723577,50,3.931712
2012_legi_t1,2012,44198,9163,28200,8,5.134137,383,7.409603
2012_legi_t1,2012,44199,1965,24390,,5.980923,48,0
2012_legi_t1,2012,44200,339,23470,,10.619469,6,0
2012_legi_t1,2012,44201,7457,33610,,3.107433,179,7.516416
2012_legi_t1,2012,44202,1820,25740,,2.662626,44,
2012_legi_t1,2012,44203,2005,27440,,2.97278,33,0
2012_legi_t1,2012,44204,10956,29430,8,6.093405,297,4.26816
2012_legi_t1,2012,44205,2619,25400,,7.150887,57,0
2012_legi_t1,2012,44206,1936,24660,,7.416538,45,0
2012_legi_t1,2012,44207,1124,24540,,9.172662,24,0
2012_legi_t1,2012,44208,976,22750,,5.819297,25,0
2012_legi_t1,2012,44209,10414,31030,6,3.554725,338,8.186454
2012_legi_t1,2012,44210,8234,24200,13,7.222572,379,8.183981
2012_legi_t1,2012,44211,4862,27900,10,6.905278,198,1.025875
2012_legi_t1,2012,44212,9524,26770,8,5.74203,334,1.84356
2012_legi_t1,2012,44213,7509,24540,11,6.352913,228,1.63098
2012_legi_t1,2012,44214,2084,24970,,4.381443,51,0
2012_legi_t1,2012,44215,26048,31190,6.6,4.721488,845,4.664278
