id_election,annee,type_election,code_commune,libelle_commune,code_departement,region,code_region,total_inscrits,total_votants,total_abstentions,total_blancs,total_nuls,total_exprimes,nb_bureaux,taux_participation_reel,taux_abstention_reel,famille_dominante,pct_voix_famille_dominante,pct_autre,pct_centre,pct_divers,pct_droite,pct_ecologie,pct_extreme_droite,pct_gauche,pct_gauche_radicale
2022_pres_t1,2022,pres,44062,Le Gâvre,44,Pays de la Loire,52,1324,1029,295,21,10,998,1,77.719033,22.280967,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44063,Gétigné,44,Pays de la Loire,52,2896,2374,522,41,15,2318,3,81.975138,18.024862,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44064,Gorges,44,Pays de la Loire,52,3575,2956,619,63,11,2882,3,82.685315,17.314685,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44065,Grand-Auverné,44,Pays de la Loire,52,590,471,119,5,5,461,1,79.830508,20.169492,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44066,Grandchamps-Des-Fontaines,44,Pays de la Loire,52,4909,3927,982,70,19,3838,4,79.995926,20.004074,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44067,Guémené-Penfao,44,Pays de la Loire,52,3993,3057,936,62,30,2965,5,76.558978,23.441022,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44068,Guenrouet,44,Pays de la Loire,52,2554,2032,522,30,12,1990,4,79.561472,20.438528,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44069,Guérande,44,Pays de la Loire,52,14479,11427,3052,182,63,11182,18,78.921196,21.078804,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44070,La Haie-Fouassière,44,Pays de la Loire,52,3770,3099,671,50,23,3026,4,82.201592,17.798408,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44071,Haute-Goulaine,44,Pays de la Loire,52,4943,4046,897,74,21,3951,5,81.853126,18.146874,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44072,Herbignac,44,Pays de la Loire,52,5352,4229,1123,60,38,4131,6,79.01719,20.98281,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44073,Héric,44,Pays de la Loire,52,4879,3778,1101,61,15,3702,4,77.4339,22.5661,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44074,Indre,44,Pays de la Loire,52,2940,2374,566,36,15,2323,3,80.748299,19.251701,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44075,Issé,44,Pays de la Loire,52,1425,1082,343,15,14,1053,1,75.929825,24.070175,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44076,Jans,44,Pays de la Loire,52,971,744,227,11,3,730,1,76.622039,23.377961,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44077,Joué-Sur-Erdre,44,Pays de la Loire,52,1838,1453,385,28,11,1414,2,79.053319,20.946681,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44078,Juigné-Des-Moutiers,44,Pays de la Loire,52,265,210,55,2,2,206,1,79.245283,20.754717,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44079,Le Landreau,44,Pays de la Loire,52,2353,1852,501,30,10,1812,2,78.708032,21.291968,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44080,Lavau-Sur-Loire,44,Pays de la Loire,52,578,487,91,4,2,481,1,84.256055,15.743945,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44081,Legé,44,Pays de la Loire,52,3299,2565,734,35,24,2506,3,77.750834,22.249166,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44082,Ligné,44,Pays de la Loire,52,3880,3162,718,62,18,3082,3,81.494845,18.505155,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44083,La Limouzinière,44,Pays de la Loire,52,1735,1305,430,24,9,1272,2,75.216138,24.783862,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44084,Le Loroux-Bottereau,44,Pays de la Loire,52,6159,4880,1279,98,35,4747,7,79.233642,20.766358,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44085,Louisfert,44,Pays de la Loire,52,755,601,154,14,11,576,1,79.602649,20.397351,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44086,Lusanger,44,Pays de la Loire,52,762,578,184,12,4,562,1,75.853018,24.146982,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44087,Machecoul-Saint-Même,44,Pays de la Loire,52,6038,4610,1428,66,22,4522,7,76.349785,23.650215,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44088,Maisdon-Sur-Sèvre,44,Pays de la Loire,52,2217,1834,383,32,17,1785,2,82.724402,17.275598,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44089,Malville,44,Pays de la Loire,52,2539,2098,441,46,9,2043,2,82.630957,17.369043,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44090,La Marne,44,Pays de la Loire,52,1126,853,273,10,14,829,1,75.754885,24.245115,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44091,Marsac-Sur-Don,44,Pays de la Loire,52,1204,917,287,19,3,895,1,76.162791,23.837209,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44092,Massérac,44,Pays de la Loire,52,556,407,149,10,3,394,1,73.201439,26.798561,autre,100,100,0,0,0,0,0,0,0
